file_name,percent_removed,total_lines,avg_chars_per_line
paper_381.txt,0.34,23674,31.48
paper_246.txt,1.96,24032,28.49
paper_175.txt,0.9,5551,42.14
paper_11.txt,1.35,12840,27.57
paper_733.txt,1.75,28217,18.43
paper_230.txt,1.71,15456,36.12
paper_582.txt,2.93,8095,25.36
paper_586.txt,1.45,4270,19.11
paper_197.txt,3.0,19246,22.71
paper_645.txt,1.46,6624,21.06
paper_4.txt,1.29,12063,27.91
paper_725.txt,0.67,16013,26.32
paper_557.txt,7.72,15873,38.37
paper_654.txt,2.56,15107,35.88
paper_77.txt,9.65,16485,35.37
paper_329.txt,0.93,18556,34.09
paper_282.txt,0.9,7898,32.08
paper_644.txt,2.69,10250,34.14
paper_496.txt,2.35,14528,31.77
paper_541.txt,3.48,20258,29.88
paper_325.txt,4.04,7111,30.64
paper_87.txt,9.51,13812,30.73
paper_289.txt,0.92,30763,30.78
paper_211.txt,0.97,15087,39.06
paper_287.txt,0.53,13123,23.93
paper_658.txt,1.45,8293,36.96
paper_624.txt,2.92,9619,36.41
paper_281.txt,1.02,4915,32.06
paper_198.txt,1.99,10336,25.03
paper_174.txt,1.03,14516,26.82
paper_345.txt,1.75,28217,18.43
paper_636.txt,0.92,30763,30.78
paper_569.txt,2.35,14528,31.77
paper_233.txt,3.63,14656,31.31
paper_164.txt,5.57,9025,32.13
paper_459.txt,0.34,23674,31.48
paper_492.txt,2.27,10060,33.94
paper_61.txt,0.68,26126,23.42
paper_105.txt,0.23,18033,17.43
paper_46.txt,6.63,9866,35.67
paper_360.txt,0.88,14067,26.97
paper_739.txt,1.79,9794,42.11
paper_82.txt,3.14,12986,36.06
paper_398.txt,1.98,12707,29.34
paper_245.txt,0.68,26126,23.42
paper_484.txt,0.55,20832,25.48
paper_260.txt,5.24,18066,39.09
paper_706.txt,2.16,5006,34.43
paper_656.txt,1.11,9101,36.53
paper_81.txt,0.52,9587,37.4
paper_258.txt,6.96,7768,43.35
paper_302.txt,0.39,12692,40.15
paper_534.txt,0.88,15959,21.85
paper_662.txt,2.65,8339,41.65
paper_697.txt,1.24,14141,26.4
paper_351.txt,1.57,22158,19.82
paper_589.txt,0.59,8473,27.01
paper_408.txt,0.0,12114,31.16
paper_698.txt,1.32,8939,35.74
paper_210.txt,5.51,9324,26.01
paper_215.txt,1.74,4956,31.0
paper_434.txt,2.43,7396,29.46
paper_69.txt,1.38,9029,25.14
paper_519.txt,8.28,13096,42.38
paper_9.txt,5.74,10243,42.55
paper_467.txt,0.85,15546,32.67
paper_67.txt,6.37,1208,30.52
paper_724.txt,1.03,14516,26.82
paper_683.txt,1.02,10830,26.45
paper_286.txt,1.2,6945,52.77
paper_315.txt,0.58,8554,32.73
paper_449.txt,0.56,11637,23.27
paper_638.txt,1.16,11188,38.94
paper_403.txt,5.98,10009,36.71
paper_376.txt,0.59,8473,27.01
paper_618.txt,2.24,24782,24.57
paper_75.txt,0.55,9078,35.87
paper_395.txt,0.34,23674,31.48
paper_471.txt,0.97,15087,39.06
paper_242.txt,2.92,23847,25.04
paper_154.txt,6.76,9100,34.32
paper_323.txt,2.58,14613,37.88
paper_275.txt,1.57,13338,35.65
paper_616.txt,0.52,21352,19.73
paper_187.txt,0.88,14067,26.97
paper_265.txt,0.23,18033,17.43
paper_425.txt,1.68,20728,36.96
paper_299.txt,1.81,13578,36.05
paper_621.txt,0.34,23674,31.48
paper_489.txt,0.93,21481,30.51
paper_205.txt,2.05,15154,26.58
paper_660.txt,0.65,25200,19.46
paper_745.txt,1.59,20535,29.5
paper_585.txt,2.6,12278,33.27
paper_743.txt,6.23,13121,33.09
paper_504.txt,0.34,23674,31.48
paper_522.txt,2.03,6552,31.5
paper_473.txt,3.43,16186,24.71
paper_572.txt,0.37,13446,38.82
paper_353.txt,3.08,4645,40.1
paper_516.txt,6.5,2370,40.99
paper_574.txt,0.93,18556,34.09
paper_231.txt,1.89,8031,34.99
paper_620.txt,3.08,4645,40.1
paper_63.txt,3.48,20258,29.88
paper_126.txt,3.14,12986,36.06
paper_176.txt,1.5,12932,29.68
paper_301.txt,1.03,14516,26.82
paper_223.txt,3.88,11891,35.77
paper_714.txt,1.11,19386,36.85
paper_13.txt,1.8,21023,25.25
paper_595.txt,4.69,4519,40.84
paper_521.txt,0.63,25195,23.58
paper_611.txt,7.58,2770,21.04
paper_99.txt,6.48,10817,38.15
paper_594.txt,3.0,19246,22.71
paper_370.txt,2.01,13112,25.51
paper_722.txt,0.98,7625,26.18
paper_259.txt,2.35,9052,43.7
paper_424.txt,0.44,11530,24.22
paper_192.txt,0.54,15032,17.91
paper_401.txt,1.36,18148,36.81
paper_483.txt,0.61,17770,23.38
paper_390.txt,0.81,19817,22.7
paper_165.txt,7.72,15873,38.37
paper_653.txt,6.42,6433,29.35
paper_117.txt,3.19,8519,41.65
paper_304.txt,0.85,9757,50.95
paper_378.txt,1.83,9417,29.79
paper_642.txt,1.13,12770,19.33
paper_397.txt,0.99,22302,26.76
paper_31.txt,1.46,6624,21.06
paper_118.txt,1.95,5292,22.54
paper_619.txt,7.13,5061,19.71
paper_553.txt,1.28,11617,34.73
paper_114.txt,1.34,6796,41.91
paper_597.txt,4.81,7064,29.23
paper_482.txt,1.8,17419,33.78
paper_241.txt,1.44,19534,28.14
paper_437.txt,0.81,7501,29.65
paper_199.txt,2.35,10504,39.6
paper_12.txt,2.11,10850,19.07
paper_188.txt,0.97,15087,39.06
paper_405.txt,1.83,9417,29.79
paper_391.txt,8.46,10329,40.3
paper_602.txt,1.45,22940,21.17
paper_333.txt,1.2,6945,52.77
paper_330.txt,2.0,6856,34.02
paper_207.txt,3.38,5292,28.9
paper_464.txt,0.93,25357,19.3
paper_18.txt,6.5,2370,40.99
paper_66.txt,1.32,8939,35.74
paper_19.txt,0.0,12114,31.16
paper_730.txt,2.69,10250,34.14
paper_538.txt,1.65,8220,29.54
paper_507.txt,0.68,13351,32.74
paper_559.txt,5.98,10009,36.71
paper_468.txt,1.45,4270,19.11
paper_556.txt,1.49,6250,29.53
paper_497.txt,2.02,10129,31.46
paper_596.txt,0.53,13123,23.93
paper_591.txt,1.05,13339,22.02
paper_50.txt,1.42,14059,32.24
paper_6.txt,3.31,8191,27.77
paper_124.txt,3.95,14013,28.56
paper_173.txt,1.17,4277,36.29
paper_700.txt,0.68,13351,32.74
paper_433.txt,2.01,13112,25.51
paper_684.txt,9.89,2567,35.75
paper_47.txt,4.8,15109,31.71
paper_20.txt,1.13,12770,19.33
paper_168.txt,2.58,4076,39.36
paper_148.txt,6.96,7768,43.35
paper_661.txt,1.71,15456,36.12
paper_90.txt,0.45,11823,28.85
paper_185.txt,0.97,15087,39.06
paper_629.txt,1.5,12932,29.68
paper_366.txt,1.02,4915,32.06
paper_470.txt,2.0,6856,34.02
paper_651.txt,0.93,25357,19.3
paper_709.txt,0.54,9683,30.19
paper_440.txt,5.24,18066,39.09
paper_455.txt,1.65,15014,22.68
paper_145.txt,1.74,4956,31.0
paper_88.txt,6.37,1208,30.52
paper_456.txt,0.63,23758,20.75
paper_718.txt,7.32,6940,39.26
paper_677.txt,1.11,9101,36.53
paper_705.txt,1.59,20535,29.5
paper_162.txt,1.89,8031,34.99
paper_713.txt,0.85,33599,25.85
paper_277.txt,2.03,6552,31.5
paper_141.txt,1.09,15754,36.01
paper_423.txt,2.56,12997,42.46
paper_184.txt,1.32,25745,19.98
paper_68.txt,2.58,4076,39.36
paper_337.txt,6.63,9866,35.67
paper_38.txt,6.42,6433,29.35
paper_628.txt,1.88,5751,27.18
paper_155.txt,1.84,10625,36.28
paper_195.txt,1.35,12840,27.57
paper_309.txt,1.45,22940,21.17
paper_86.txt,1.47,20245,32.76
paper_326.txt,0.39,12692,40.15
paper_1.txt,2.16,13842,39.47
paper_344.txt,2.89,8560,37.81
paper_83.txt,2.58,14613,37.88
paper_247.txt,2.46,6475,35.02
paper_479.txt,2.35,10504,39.6
paper_704.txt,0.34,23674,31.48
paper_513.txt,0.34,23674,31.48
paper_49.txt,1.45,8293,36.96
paper_646.txt,4.48,11283,27.65
paper_742.txt,2.03,13188,27.03
paper_696.txt,1.32,25745,19.98
paper_226.txt,2.02,9123,34.75
paper_156.txt,1.9,15501,31.74
paper_365.txt,0.37,13446,38.82
paper_62.txt,0.72,11904,26.35
paper_221.txt,0.81,19817,22.7
paper_478.txt,9.51,13812,30.73
paper_189.txt,0.85,33599,25.85
paper_740.txt,9.51,13812,30.73
paper_490.txt,0.25,19617,22.37
paper_494.txt,0.95,20796,18.45
paper_361.txt,2.71,6962,30.52
paper_320.txt,4.16,7985,26.86
paper_153.txt,3.0,19246,22.71
paper_232.txt,1.36,18148,36.81
paper_92.txt,0.85,15546,32.67
paper_297.txt,1.02,10830,26.45
paper_396.txt,1.35,12840,27.57
paper_445.txt,1.65,8220,29.54
paper_715.txt,2.34,2437,28.84
paper_103.txt,0.86,31096,20.18
paper_307.txt,1.24,14141,26.4
paper_296.txt,4.81,7064,29.23
paper_601.txt,5.57,9025,32.13
paper_635.txt,0.72,11904,26.35
paper_392.txt,1.09,17828,26.88
paper_372.txt,0.44,11530,24.22
paper_357.txt,1.19,27738,31.2
paper_110.txt,0.34,23674,31.48
paper_648.txt,2.89,8560,37.81
paper_269.txt,0.45,11823,28.85
paper_135.txt,0.34,23674,31.48
paper_694.txt,1.03,21029,26.06
paper_101.txt,0.9,25575,24.87
paper_10.txt,0.8,15212,25.74
paper_206.txt,0.87,22137,16.3
paper_204.txt,1.99,10336,25.03
paper_106.txt,5.24,18066,39.09
paper_35.txt,0.61,11473,25.26
paper_664.txt,0.58,8554,32.73
paper_109.txt,0.59,22400,19.0
paper_121.txt,2.92,12159,29.74
paper_354.txt,0.67,16013,26.32
paper_261.txt,1.9,15501,31.74
paper_669.txt,2.24,24782,24.57
paper_369.txt,0.88,15959,21.85
paper_303.txt,0.15,76199,30.31
paper_55.txt,1.38,8117,31.7
paper_89.txt,2.07,9429,32.38
paper_412.txt,2.11,13428,27.99
paper_536.txt,3.38,5292,28.9
paper_386.txt,1.81,13578,36.05
paper_133.txt,0.61,11473,25.26
paper_373.txt,0.87,22137,16.3
paper_402.txt,1.36,18148,36.81
paper_583.txt,9.51,13812,30.73
paper_146.txt,1.09,15754,36.01
paper_676.txt,2.35,10504,39.6
paper_674.txt,1.35,8285,31.13
paper_389.txt,7.32,6940,39.26
paper_380.txt,6.23,13121,33.09
paper_213.txt,2.05,15154,26.58
paper_501.txt,0.54,15032,17.91
paper_528.txt,6.63,9866,35.67
paper_202.txt,1.28,21403,21.57
paper_588.txt,2.27,10060,33.94
paper_571.txt,0.65,25200,19.46
paper_291.txt,1.43,8733,27.81
paper_218.txt,1.85,3081,47.83
paper_411.txt,0.87,22137,16.3
paper_96.txt,0.92,35680,24.92
paper_53.txt,2.11,10850,19.07
paper_222.txt,2.03,6552,31.5
paper_450.txt,1.98,12707,29.34
paper_711.txt,6.17,4880,38.01
paper_542.txt,3.88,11891,35.77
paper_406.txt,0.52,21352,19.73
paper_60.txt,0.55,9078,35.87
paper_703.txt,0.55,9240,20.81
paper_48.txt,0.68,26126,23.42
paper_305.txt,0.8,15212,25.74
paper_379.txt,1.28,21403,21.57
paper_737.txt,8.46,10329,40.3
paper_196.txt,0.87,22137,16.3
paper_523.txt,3.31,8191,27.77
paper_119.txt,3.63,14656,31.31
paper_272.txt,0.9,7898,32.08
paper_128.txt,1.17,7406,26.16
paper_56.txt,2.92,12159,29.74
paper_625.txt,0.59,22400,19.0
paper_209.txt,0.41,12173,35.89
paper_321.txt,9.51,13812,30.73
paper_151.txt,4.97,10792,30.31
paper_359.txt,7.72,15873,38.37
paper_314.txt,1.65,15014,22.68
paper_727.txt,0.0,15905,28.26
paper_311.txt,9.65,16485,35.37
paper_527.txt,0.93,25357,19.3
paper_295.txt,2.16,13842,39.47
paper_515.txt,4.77,9603,36.47
paper_244.txt,0.78,6802,26.58
paper_394.txt,1.8,17419,33.78
paper_448.txt,1.41,3542,31.87
paper_590.txt,0.59,8473,27.01
paper_531.txt,8.31,2864,33.15
paper_710.txt,2.56,12997,42.46
paper_152.txt,0.93,25357,19.3
paper_637.txt,0.52,10564,24.69
paper_680.txt,2.93,8095,25.36
paper_290.txt,0.86,31096,20.18
paper_672.txt,7.38,11767,36.82
paper_606.txt,1.76,4554,41.77
paper_352.txt,0.85,9757,50.95
paper_284.txt,7.38,11767,36.82
paper_485.txt,1.47,20245,32.76
paper_250.txt,4.8,15109,31.71
paper_481.txt,1.17,4277,36.29
paper_95.txt,0.81,19817,22.7
paper_180.txt,2.34,2437,28.84
paper_707.txt,3.95,14013,28.56
paper_91.txt,7.69,4385,39.7
paper_363.txt,0.52,9587,37.4
paper_308.txt,0.9,5551,42.14
paper_472.txt,1.16,11188,38.94
paper_40.txt,5.57,9025,32.13
paper_560.txt,3.66,5116,42.58
paper_37.txt,1.09,17828,26.88
paper_39.txt,5.24,18066,39.09
paper_474.txt,0.78,6802,26.58
paper_21.txt,1.19,27738,31.2
paper_514.txt,3.66,5116,42.58
paper_254.txt,1.75,28217,18.43
paper_79.txt,1.08,21768,31.77
paper_581.txt,0.52,21352,19.73
paper_298.txt,1.38,9029,25.14
paper_130.txt,0.0,12307,34.26
paper_708.txt,8.28,13096,42.38
paper_511.txt,2.17,17255,28.96
paper_191.txt,2.44,18136,31.68
paper_29.txt,1.05,13339,22.02
paper_257.txt,0.61,17770,23.38
paper_58.txt,6.42,6433,29.35
paper_717.txt,0.55,9240,20.81
paper_393.txt,0.85,9757,50.95
paper_695.txt,2.46,6475,35.02
paper_615.txt,2.03,6552,31.5
paper_76.txt,1.96,24032,28.49
paper_598.txt,4.97,10792,30.31
paper_276.txt,2.35,6174,36.42
paper_568.txt,2.44,18136,31.68
paper_530.txt,1.96,24032,28.49
paper_225.txt,7.72,15873,38.37
paper_689.txt,5.74,10243,42.55
paper_720.txt,1.05,9739,32.27
paper_14.txt,3.91,20369,31.2
paper_517.txt,5.98,10009,36.71
paper_502.txt,9.51,13812,30.73
paper_25.txt,0.92,35680,24.92
paper_355.txt,0.52,21352,19.73
paper_592.txt,3.43,16186,24.71
paper_219.txt,1.88,5751,27.18
paper_741.txt,1.11,9101,36.53
paper_94.txt,1.38,6790,44.2
paper_190.txt,1.38,8117,31.7
paper_41.txt,0.9,25575,24.87
paper_371.txt,1.8,21023,25.25
paper_505.txt,0.95,20796,18.45
paper_643.txt,1.85,3081,47.83
paper_28.txt,1.76,4554,41.77
paper_439.txt,0.63,25204,30.92
paper_564.txt,0.99,22302,26.76
paper_78.txt,2.94,8639,26.81
paper_663.txt,1.28,11617,34.73
paper_543.txt,0.62,7680,40.94
paper_540.txt,1.11,19386,36.85
paper_702.txt,1.2,6945,52.77
paper_51.txt,5.98,10009,36.71
paper_567.txt,1.35,8285,31.13
paper_670.txt,2.02,12375,27.83
paper_599.txt,1.96,24032,28.49
paper_252.txt,2.56,15107,35.88
paper_409.txt,1.34,8051,40.51
paper_23.txt,2.35,10504,39.6
paper_610.txt,0.39,14340,27.75
paper_256.txt,1.75,28217,18.43
paper_499.txt,0.63,25195,23.58
paper_375.txt,2.04,12331,20.87
paper_652.txt,1.57,22158,19.82
paper_129.txt,1.79,9794,42.11
paper_744.txt,2.03,13188,27.03
paper_418.txt,1.41,3542,31.87
paper_480.txt,6.42,6433,29.35
paper_734.txt,0.85,9757,50.95
paper_551.txt,1.88,8673,23.88
paper_224.txt,2.92,23847,25.04
paper_328.txt,2.02,9123,34.75
paper_500.txt,1.29,12063,27.91
paper_138.txt,1.08,21768,31.77
paper_255.txt,0.15,76199,30.31
paper_421.txt,1.03,21029,26.06
paper_414.txt,2.71,6962,30.52
paper_340.txt,1.84,10625,36.28
paper_220.txt,0.15,76199,30.31
paper_681.txt,0.81,7501,29.65
paper_274.txt,0.41,12173,35.89
paper_613.txt,6.76,9100,34.32
paper_686.txt,3.08,4645,40.1
paper_377.txt,0.93,21481,30.51
paper_685.txt,3.0,19246,22.71
paper_237.txt,1.36,18148,36.81
paper_603.txt,5.07,4396,50.76
paper_631.txt,2.07,9429,32.38
paper_576.txt,0.63,23758,20.75
paper_435.txt,0.54,9683,30.19
paper_430.txt,1.62,4948,27.81
paper_678.txt,4.69,4519,40.84
paper_443.txt,2.02,12375,27.83
paper_36.txt,1.36,9918,19.83
paper_657.txt,0.52,9647,41.21
paper_692.txt,6.23,13121,33.09
paper_374.txt,0.59,8473,27.01
paper_362.txt,0.39,14340,27.75
paper_562.txt,1.88,8673,23.88
paper_201.txt,0.48,18503,17.84
paper_158.txt,2.06,4457,44.42
paper_382.txt,0.25,19617,22.37
paper_5.txt,1.44,19534,28.14
paper_73.txt,2.94,8639,26.81
paper_431.txt,3.08,4645,40.1
paper_74.txt,0.56,11637,23.27
paper_171.txt,4.04,7111,30.64
paper_177.txt,2.11,13428,27.99
paper_167.txt,5.51,9324,26.01
paper_336.txt,1.03,14516,26.82
paper_59.txt,4.48,11283,27.65
paper_346.txt,1.57,13338,35.65
paper_417.txt,7.13,5061,19.71
paper_419.txt,1.68,20728,36.96
paper_26.txt,0.98,7625,26.18
paper_554.txt,3.19,8519,41.65
paper_332.txt,0.62,7680,40.94
paper_170.txt,0.57,16584,33.1
paper_253.txt,3.91,20369,31.2
paper_420.txt,1.35,12840,27.57
paper_688.txt,1.36,9918,19.83
paper_738.txt,2.6,12278,33.27
paper_682.txt,6.48,10817,38.15
paper_339.txt,1.11,9101,36.53
paper_510.txt,2.16,5006,34.43
paper_593.txt,4.16,7985,26.86
paper_578.txt,0.55,20832,25.48
paper_428.txt,0.68,26126,23.42
paper_640.txt,0.52,9647,41.21
paper_227.txt,2.92,9619,36.41
paper_701.txt,1.34,8051,40.51
paper_383.txt,0.9,7898,32.08
paper_157.txt,1.42,14059,32.24
